cut_ratio,error1,error2,error3,error4,error5,error6
0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,
0.0200,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,
0.0400,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,
0.0600,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,
0.0800,0.9998,0.9996,0.9994,0.9992,0.9990,0.9988,
0.1000,0.9997,0.9994,0.9991,0.9988,0.9985,0.9982,
0.1200,0.9991,0.9982,0.9973,0.9964,0.9955,0.9946,
0.1400,0.9991,0.9982,0.9973,0.9964,0.9955,0.9946,
0.1600,0.9990,0.9980,0.9970,0.9960,0.9950,0.9940,
0.1800,0.9986,0.9972,0.9958,0.9944,0.9930,0.9916,
0.2000,0.9980,0.9960,0.9940,0.9920,0.9900,0.9881,
0.2200,0.9972,0.9944,0.9916,0.9888,0.9861,0.9833,
0.2400,0.9958,0.9916,0.9875,0.9833,0.9792,0.9751,
0.2600,0.9945,0.9890,0.9836,0.9782,0.9728,0.9674,
0.2800,0.9933,0.9866,0.9800,0.9735,0.9669,0.9605,
0.3000,0.9921,0.9843,0.9765,0.9688,0.9611,0.9535,
0.3200,0.9908,0.9817,0.9727,0.9637,0.9548,0.9460,
0.3400,0.9889,0.9779,0.9671,0.9563,0.9457,0.9352,
0.3600,0.9878,0.9757,0.9638,0.9521,0.9405,0.9290,
0.3800,0.9857,0.9716,0.9577,0.9440,0.9305,0.9172,
0.4000,0.9825,0.9653,0.9484,0.9318,0.9155,0.8995,
0.4200,0.9808,0.9620,0.9435,0.9254,0.9076,0.8902,
0.4400,0.9767,0.9539,0.9317,0.9100,0.8888,0.8681,
0.4600,0.9739,0.9485,0.9237,0.8996,0.8761,0.8533,
0.4800,0.9693,0.9395,0.9107,0.8827,0.8556,0.8294,
0.5000,0.9660,0.9331,0.9014,0.8708,0.8412,0.8126,
0.5200,0.9627,0.9268,0.8922,0.8589,0.8269,0.7960,
0.5400,0.9574,0.9166,0.8776,0.8402,0.8044,0.7701,
0.5600,0.9518,0.9059,0.8622,0.8207,0.7811,0.7435,
0.5800,0.9454,0.8938,0.8450,0.7988,0.7552,0.7140,
0.6000,0.9380,0.8798,0.8253,0.7741,0.7261,0.6811,
0.6200,0.9292,0.8634,0.8023,0.7455,0.6927,0.6436,
0.6400,0.9197,0.8458,0.7779,0.7154,0.6580,0.6051,
0.6600,0.9099,0.8279,0.7533,0.6854,0.6237,0.5675,
0.6800,0.8989,0.8080,0.7263,0.6529,0.5869,0.5275,
0.7000,0.8884,0.7892,0.7011,0.6229,0.5534,0.4916,
0.7200,0.8741,0.7640,0.6678,0.5837,0.5102,0.4460,
0.7400,0.8582,0.7365,0.6320,0.5424,0.4655,0.3995,
0.7600,0.8377,0.7017,0.5878,0.4924,0.4125,0.3455,
0.7800,0.8152,0.6645,0.5417,0.4416,0.3600,0.2934,
0.8000,0.7895,0.6233,0.4921,0.3885,0.3067,0.2421,
0.8200,0.7575,0.5738,0.4346,0.3292,0.2494,0.1889,
0.8400,0.7196,0.5178,0.3726,0.2681,0.1929,0.1388,
0.8600,0.6844,0.4684,0.3205,0.2194,0.1501,0.1027,
0.8800,0.6625,0.4389,0.2907,0.1926,0.1276,0.0845,
