cut_ratio,error1,error2,error3,error4,error5,error6
0,0.9999,0.9998,0.9997,0.9996,0.9995,0.9994,
0.0200,0.9998,0.9996,0.9994,0.9992,0.9990,0.9988,
0.0400,0.9993,0.9986,0.9979,0.9972,0.9965,0.9958,
0.0600,0.9990,0.9980,0.9970,0.9960,0.9950,0.9940,
0.0800,0.9982,0.9964,0.9946,0.9928,0.9910,0.9892,
0.1000,0.9969,0.9938,0.9907,0.9876,0.9846,0.9815,
0.1200,0.9960,0.9920,0.9880,0.9841,0.9801,0.9762,
0.1400,0.9945,0.9890,0.9836,0.9782,0.9728,0.9674,
0.1600,0.9926,0.9852,0.9779,0.9707,0.9635,0.9564,
0.1800,0.9903,0.9807,0.9711,0.9617,0.9524,0.9431,
0.2000,0.9881,0.9763,0.9647,0.9532,0.9418,0.9306,
0.2200,0.9849,0.9700,0.9553,0.9409,0.9266,0.9126,
0.2400,0.9812,0.9627,0.9446,0.9268,0.9093,0.8922,
0.2600,0.9769,0.9543,0.9322,0.9106,0.8896,0.8690,
0.2800,0.9715,0.9437,0.9168,0.8906,0.8652,0.8405,
0.3000,0.9664,0.9338,0.9024,0.8721,0.8427,0.8144,
0.3200,0.9608,0.9232,0.8871,0.8523,0.8190,0.7869,
0.3400,0.9556,0.9132,0.8727,0.8340,0.7970,0.7617,
0.3600,0.9504,0.9033,0.8585,0.8160,0.7755,0.7371,
0.3800,0.9453,0.8936,0.8448,0.7986,0.7549,0.7136,
0.4000,0.9386,0.8810,0.8269,0.7762,0.7285,0.6838,
0.4200,0.9312,0.8671,0.8075,0.7519,0.7002,0.6520,
0.4400,0.9232,0.8523,0.7868,0.7264,0.6706,0.6191,
0.4600,0.9155,0.8381,0.7673,0.7024,0.6431,0.5887,
0.4800,0.9068,0.8222,0.7456,0.6761,0.6130,0.5559,
0.5000,0.8968,0.8042,0.7211,0.6467,0.5799,0.5200,
0.5200,0.8876,0.7879,0.6994,0.6208,0.5510,0.4891,
0.5400,0.8753,0.7662,0.6707,0.5871,0.5139,0.4498,
0.5600,0.8641,0.7467,0.6452,0.5575,0.4818,0.4163,
0.5800,0.8535,0.7285,0.6217,0.5306,0.4529,0.3865,
0.6000,0.8415,0.7081,0.5958,0.5014,0.4219,0.3550,
0.6200,0.8284,0.6862,0.5684,0.4708,0.3900,0.3231,
0.6400,0.8142,0.6630,0.5398,0.4396,0.3579,0.2914,
0.6600,0.8010,0.6416,0.5140,0.4117,0.3298,0.2642,
0.6800,0.7861,0.6180,0.4858,0.3819,0.3002,0.2360,
0.7000,0.7667,0.5878,0.4506,0.3455,0.2649,0.2031,
0.7200,0.7473,0.5585,0.4174,0.3120,0.2331,0.1742,
0.7400,0.7274,0.5291,0.3849,0.2800,0.2037,0.1482,
0.7600,0.7056,0.4979,0.3513,0.2479,0.1749,0.1234,
0.7800,0.6826,0.4659,0.3180,0.2170,0.1481,0.1011,
0.8000,0.6621,0.4384,0.2903,0.1922,0.1273,0.0843,
0.8200,0.6405,0.4102,0.2628,0.1683,0.1078,0.0690,
0.8400,0.6253,0.3910,0.2445,0.1529,0.0956,0.0598,
0.8600,0.6173,0.3810,0.2352,0.1452,0.0896,0.0553,
0.8800,0.6162,0.3797,0.2339,0.1441,0.0888,0.0547,
