cut_ratio,error1,error2,error3,error4,error5,error6
0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,
0.0200,0.9999,0.9998,0.9997,0.9996,0.9995,0.9994,
0.0400,0.9993,0.9986,0.9979,0.9972,0.9965,0.9958,
0.0600,0.9986,0.9972,0.9958,0.9944,0.9930,0.9916,
0.0800,0.9978,0.9956,0.9934,0.9912,0.9890,0.9868,
0.1000,0.9968,0.9936,0.9904,0.9872,0.9841,0.9809,
0.1200,0.9958,0.9916,0.9874,0.9833,0.9791,0.9750,
0.1400,0.9938,0.9876,0.9815,0.9754,0.9693,0.9633,
0.1600,0.9918,0.9836,0.9755,0.9675,0.9596,0.9517,
0.1800,0.9898,0.9796,0.9696,0.9597,0.9499,0.9402,
0.2000,0.9872,0.9745,0.9620,0.9496,0.9375,0.9254,
0.2200,0.9834,0.9670,0.9509,0.9351,0.9195,0.9042,
0.2400,0.9806,0.9617,0.9431,0.9248,0.9069,0.8894,
0.2600,0.9766,0.9538,0.9315,0.9098,0.8885,0.8678,
0.2800,0.9720,0.9448,0.9184,0.8927,0.8677,0.8435,
0.3000,0.9663,0.9338,0.9023,0.8719,0.8425,0.8141,
0.3200,0.9614,0.9243,0.8886,0.8543,0.8213,0.7896,
0.3400,0.9551,0.9122,0.8712,0.8321,0.7947,0.7590,
0.3600,0.9494,0.9013,0.8557,0.8123,0.7712,0.7321,
0.3800,0.9432,0.8897,0.8392,0.7916,0.7467,0.7043,
0.4000,0.9355,0.8752,0.8188,0.7660,0.7166,0.6704,
0.4200,0.9267,0.8588,0.7958,0.7375,0.6834,0.6333,
0.4400,0.9173,0.8414,0.7718,0.7079,0.6494,0.5957,
0.4600,0.9068,0.8224,0.7458,0.6763,0.6133,0.5562,
0.4800,0.8959,0.8027,0.7191,0.6443,0.5772,0.5171,
0.5000,0.8865,0.7859,0.6967,0.6176,0.5475,0.4853,
0.5200,0.8760,0.7673,0.6721,0.5888,0.5157,0.4518,
0.5400,0.8654,0.7490,0.6482,0.5610,0.4855,0.4202,
0.5600,0.8529,0.7274,0.6204,0.5292,0.4513,0.3849,
0.5800,0.8387,0.7034,0.5899,0.4947,0.4149,0.3480,
0.6000,0.8256,0.6817,0.5628,0.4647,0.3836,0.3167,
0.6200,0.8105,0.6569,0.5324,0.4315,0.3497,0.2835,
0.6400,0.7956,0.6331,0.5037,0.4008,0.3189,0.2537,
0.6600,0.7768,0.6034,0.4687,0.3641,0.2828,0.2197,
0.6800,0.7563,0.5721,0.4327,0.3272,0.2475,0.1872,
0.7000,0.7330,0.5373,0.3938,0.2886,0.2116,0.1551,
0.7200,0.7101,0.5043,0.3581,0.2543,0.1806,0.1282,
0.7400,0.6892,0.4749,0.3273,0.2256,0.1555,0.1071,
0.7600,0.6666,0.4444,0.2962,0.1975,0.1316,0.0877,
0.7800,0.6457,0.4170,0.2693,0.1739,0.1123,0.0725,
0.8000,0.6278,0.3941,0.2474,0.1553,0.0975,0.0612,
0.8200,0.6129,0.3756,0.2302,0.1411,0.0865,0.0530,
0.8400,0.6035,0.3642,0.2198,0.1327,0.0801,0.0483,
0.8600,0.6013,0.3616,0.2174,0.1307,0.0786,0.0473,
0.8800,0.6003,0.3604,0.2163,0.1299,0.0780,0.0468,
