cut_ratio,error1,error2,error3,error4,error5,error6
0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,
0.0200,0.9998,0.9996,0.9994,0.9992,0.9990,0.9988,
0.0400,0.9996,0.9992,0.9988,0.9984,0.9980,0.9976,
0.0600,0.9991,0.9982,0.9973,0.9964,0.9955,0.9946,
0.0800,0.9981,0.9962,0.9943,0.9924,0.9905,0.9886,
0.1000,0.9970,0.9940,0.9910,0.9880,0.9851,0.9821,
0.1200,0.9959,0.9918,0.9877,0.9837,0.9796,0.9756,
0.1400,0.9943,0.9886,0.9830,0.9774,0.9718,0.9662,
0.1600,0.9925,0.9850,0.9776,0.9703,0.9630,0.9558,
0.1800,0.9903,0.9807,0.9711,0.9617,0.9524,0.9431,
0.2000,0.9874,0.9749,0.9626,0.9505,0.9385,0.9266,
0.2200,0.9835,0.9672,0.9512,0.9355,0.9201,0.9048,
0.2400,0.9811,0.9625,0.9443,0.9264,0.9089,0.8917,
0.2600,0.9776,0.9556,0.9342,0.9132,0.8927,0.8727,
0.2800,0.9740,0.9486,0.9239,0.8998,0.8764,0.8536,
0.3000,0.9689,0.9387,0.9094,0.8811,0.8537,0.8271,
0.3200,0.9631,0.9276,0.8934,0.8605,0.8288,0.7983,
0.3400,0.9576,0.9171,0.8782,0.8410,0.8054,0.7712,
0.3600,0.9517,0.9058,0.8620,0.8204,0.7808,0.7431,
0.3800,0.9463,0.8955,0.8474,0.8019,0.7589,0.7181,
0.4000,0.9392,0.8821,0.8285,0.7781,0.7308,0.6864,
0.4200,0.9325,0.8695,0.8108,0.7561,0.7051,0.6575,
0.4400,0.9258,0.8571,0.7935,0.7346,0.6801,0.6296,
0.4600,0.9174,0.8416,0.7720,0.7082,0.6497,0.5960,
0.4800,0.9080,0.8244,0.7485,0.6796,0.6170,0.5602,
0.5000,0.8982,0.8068,0.7247,0.6510,0.5847,0.5252,
0.5200,0.8869,0.7866,0.6977,0.6188,0.5488,0.4867,
0.5400,0.8775,0.7700,0.6757,0.5929,0.5203,0.4566,
0.5600,0.8649,0.7480,0.6470,0.5595,0.4839,0.4185,
0.5800,0.8470,0.7173,0.6075,0.5146,0.4358,0.3691,
0.6000,0.8353,0.6978,0.5829,0.4869,0.4067,0.3398,
0.6200,0.8195,0.6716,0.5504,0.4510,0.3696,0.3029,
0.6400,0.8046,0.6474,0.5209,0.4191,0.3372,0.2713,
0.6600,0.7863,0.6182,0.4861,0.3822,0.3005,0.2363,
0.6800,0.7694,0.5920,0.4555,0.3505,0.2697,0.2075,
0.7000,0.7530,0.5670,0.4270,0.3215,0.2421,0.1823,
0.7200,0.7315,0.5350,0.3914,0.2863,0.2094,0.1532,
0.7400,0.7076,0.5007,0.3543,0.2507,0.1774,0.1256,
0.7600,0.6856,0.4700,0.3223,0.2209,0.1515,0.1039,
0.7800,0.6642,0.4411,0.2930,0.1946,0.1292,0.0858,
0.8000,0.6463,0.4177,0.2700,0.1745,0.1128,0.0729,
0.8200,0.6313,0.3986,0.2516,0.1588,0.1003,0.0633,
0.8400,0.6226,0.3876,0.2413,0.1503,0.0935,0.0582,
0.8600,0.6183,0.3823,0.2364,0.1461,0.0904,0.0559,
0.8800,0.6174,0.3812,0.2353,0.1453,0.0897,0.0554,
