level,opt_a,width,depth,shrink,
64,0.000005,15,99,1,
63,0.000005,15,99,1,
62,0.000005,15,99,1,
61,0.000005,15,99,1,
60,0.000005,15,99,1,
59,0.000005,15,99,1,
58,0.000005,15,99,1,
57,0.000005,15,99,1,
56,0.000005,15,99,1,
55,0.000005,15,99,1,
54,0.000005,15,99,1,
53,0.000005,15,99,1,
52,0.000005,15,6,1,
51,0.000005,15,6,1,
50,0.000005,15,6,1,
49,0.000005,15,6,1,
48,0.000005,15,6,1,
47,0.000005,15,6,1,
46,0.000005,15,5,1,
45,0.000005,15,5,1.3,
44,0.000005,15,5,1.15,
43,0.000005,15,5,1.2,
42,0.000005,15,5,1.2,
41,0.000005,15,4,1.2,
40,0.000005,15,4,1.2,
39,0.000005,15,4,1.2,
38,0.000005,15,4,1.2,
37,0.000005,15,4,1.2,
36,0.000005,15,4,1.2,
35,0.000005,15,4,1.2,
34,0.000005,15,4,1.2,
33,0.000005,15,4,1.2,
32,0.000005,15,4,1.2,
31,0.000005,15,4,1.2,
30,0.000005,15,4,1.2,
29,0.000005,15,4,1.2,
28,0.000005,15,4,1.2,
27,0.000005,15,4,1.2,
26,0.000005,15,4,1.2,
25,0.000005,15,4,1.2,
24,0.000005,15,4,1.2,
23,0.000005,15,4,1.2,
22,0.000005,15,4,1.15,
21,0.000005,15,4,1.15,
20,0.000005,15,4,1.15,
19,0.000005,15,4,1.15,
18,0.000005,15,4,1.15,
17,0.000005,15,5,1.15,
16,0.000005,15,5,1.15,
15,0.000005,15,5,1.15,
14,0.000005,15,5,1.15,
13,0.000005,15,5,1,
12,0.000005,15,6,1,
11,0.000005,15,6,1,
10,0.000005,15,6,1,
09,0.000005,15,6,1,
08,0.000005,15,6,1,
07,0.000005,15,6,1,
06,0.000005,15,7,1,
05,0.000005,15,8,1,
