level,acc,sigacc,max_ave,max_squ,err,choices,elim_choices,
63,7.07618,0.146,17.178,423.698,0,0.748,1.004,
62,20.4654,0.338,17.116,439.172,0,1.394,1.438,
61,26.3933,0.342,17.59,482.33,0.016,1.958,1.872,
60,38.2387,0.406,19.044,528.62,0.03,2.554,2.182,
59,39.9124,0.398,19.06,537.94,0.038,3.074,2.568,
58,45.7211,0.4,20.434,603.658,0.038,3.686,2.858,
57,51.1292,0.486,20.118,585.426,0.054,4.244,3.236,
56,57.7344,0.492,20.28,604.824,0.052,4.786,3.444,
55,56.4558,0.434,21.598,665.918,0.036,5.128,3.682,
54,66.2916,0.512,21.376,656.104,0.044,5.85,4.16,
53,65.4081,0.556,20.93,643.922,0.038,5.97,4.304,
52,26.4112,0.32,18.837,493.376,0.036,6.806,4.668,
51,26.0732,0.288,19.1348,509.148,0.014,7.008,5.096,
50,23.7558,0.304,19.2971,523.213,0.018,7.58,5.43,
49,22.4325,0.336,17.2951,435.339,0.018,7.802,5.442,
48,25.1052,0.416,18.5997,487.559,0.008,8.726,6.184,
47,19.6047,0.296,18.0498,468.607,0.014,8.746,6.2,
46,17.0633,0.4,16.3452,361.49,0.006,9.222,6.554,
45,15.574,0.296,16.7465,386.81,0.002,9.566,7.354,
44,16.7983,0.312,16.4558,375.428,0.008,10.168,7.39,
43,13.7712,0.232,17.3326,409.844,0.004,10.106,7.8,
42,12.0385,0.296,15.783,338.283,0.002,10.774,8.274,
41,13.0988,0.232,20.0233,531.851,0.002,10.654,8.332,
40,11.8615,0.264,16.4434,372.087,0.006,11.166,7.588,
39,10.6821,0.264,17.8398,429.548,0.004,10.862,8.224,
38,11.2971,0.28,16.8867,394.88,0.008,11.904,8.508,
37,16.5196,0.28,20.925,596.835,0.002,11.51,8.592,
36,11.7725,0.216,17.4072,412.036,0.004,11.972,8.146,
35,11.0677,0.24,18.3577,460.179,0.002,11.858,8.69,
34,10.1813,0.168,17.8445,429.694,0.004,12.362,8.694,
33,14.1809,0.248,18.6269,514.332,0.002,12.194,8.726,
32,11.1087,0.344,18.0152,463.294,0.02,12.312,7.918,
31,8.70301,0.208,17.4094,429.032,0,12.542,8.706,
30,10.7039,0.216,16.8775,409.204,0.008,12.366,8.514,
29,13.3732,0.192,21.691,655.269,0,12.538,8.788,
28,11.0669,0.296,16.9285,414.567,0.002,12.344,7.73,
27,10.9843,0.184,17.1652,412.808,0.008,12.286,8.124,
26,9.49406,0.224,17.2407,418.917,0.002,12.13,8.046,
25,12.6442,0.192,19.9184,551.413,0.002,11.976,8.02,
24,10.7731,0.264,15.7067,373.346,0.008,11.598,7.174,
23,9.28465,0.216,16.0239,401.227,0.01,11.752,7.89,
22,9.67557,0.24,15.6269,380.605,0.002,11.184,7.44,
21,11.4722,0.224,18.6917,518.893,0.002,11.448,7.722,
20,9.78388,0.36,13.2861,284.656,0.004,10.958,6.84,
19,9.89147,0.288,14.8409,328.399,0.006,10.754,7.04,
18,6.7314,0.304,13.4457,278.456,0.002,10.446,7.074,
17,9.30753,0.336,11.1187,193.145,0.002,10.056,7.012,
16,13.4013,0.4,12.5248,246.284,0.002,9.702,7.172,
15,10.5913,0.464,10.0906,158.991,0.004,9.134,6.124,
14,10.1819,0.496,9.70221,154.754,0.006,8.816,6.534,
24,9.43127,0.272,14.6398,336.728,0.002,11.778,7.514,
24,9.42327,0.256,16.3704,393.996,0.008,11.818,7.436,
23,10.5013,0.336,15.0952,356.484,0.004,11.702,7.502,
22,10.0339,0.192,16.6905,399.084,0,11.56,7.806,
19,10.3299,0.384,14.015,301.811,0,10.758,7.136,
18,8.65398,0.312,14.0357,302.664,0.006,10.286,6.966,
17,11.5709,0.456,11.9221,220.454,0,9.96,6.774,
