level,acc,sigacc,max_ave,max_squ,err,choices,elim_choices,
63,7.81312e+63,1.768,14.77,344.798,0,0.738,1.002,
62,6.78701e+72,1.878,15.768,378.712,0,1.466,1.558,
63,169.282,1.836,15.046,345.798,0,0.738,1,
62,167.431,1.992,14.936,332.872,0.024,1.5,1.548,
61,176.833,2.276,15.264,351.26,0.048,2.248,2.192,
60,199.47,1.84,16.242,400.646,0.03,2.824,2.724,
59,215.654,1.658,17.206,440.178,0.054,3.488,3.296,
63,154.977,1.804,14.098,312.39,0,0.754,1,
62,170.072,1.97,15.11,340.366,0.106,1.488,1.36,
63,165.617,1.912,14.802,333.17,0,0.736,1.002,
62,34.2908,0.442,15.718,362.186,0.008,1.408,1.51,
63,12.7311,0.34,14.64,313.748,0,0.754,1,
62,31.19,0.478,15.016,338.864,0.038,1.478,1.418,
61,31.2949,0.482,15.726,377.866,0.1,2.202,1.81,
60,42.4868,0.5,16.99,426.702,0.188,2.79,1.954,
59,47.4923,0.534,17.074,438.818,0.274,3.554,2.254,
58,50.1707,0.594,17.676,460.324,0.32,4.082,2.288,
57,59.7618,0.542,18.074,484.542,0.448,4.75,2.088,
56,55.4845,0.49,18.402,492.702,0.394,5.358,2.492,
55,63.9326,0.664,19.23,539.906,0.522,5.816,1.996,
63,13.8392,0.294,14.548,322.32,0,0.754,1,
62,25.9414,0.43,14.774,327.802,0.086,1.456,1.266,
61,34.7854,0.476,15.324,352.924,0.238,2.14,1.454,
63,12.8727,0.368,15.124,351.676,0,0.74,1.002,
62,28.4739,0.484,15.824,375.948,0.024,1.43,1.374,
61,35.1035,0.466,15.574,373.206,0.104,2.176,1.75,
60,42.3805,0.564,15.57,376.538,0.118,2.854,2.002,
59,45.9645,0.46,17.66,453.048,0.226,3.484,2.178,
58,52.6286,0.604,16.884,418.924,0.178,4.192,2.636,
57,57.3235,0.538,18.3,497.836,0.24,4.726,2.758,
56,59.0141,0.638,18.644,510.3,0.296,5.44,3.03,
55,58.6481,0.558,19.244,537.348,0.334,5.928,2.788,
54,66.817,0.528,19.598,570.426,0.322,6.398,3.162,
53,68.4258,0.518,19.51,563.37,0.34,6.944,3.322,
63,16.4569,0.25,14.9,332.76,0,0.74,1,
62,23.8094,0.51,15.404,365.04,0.054,1.492,1.332,
61,33.33,0.492,15.938,377.314,0.138,2.16,1.636,
60,38.3792,0.556,16.428,406.836,0.224,2.95,1.886,
63,10.7247,0.214,15.184,353.032,0,0.744,1,
62,23.6576,0.382,15.218,350.99,0.066,1.476,1.31,
61,29.0115,0.472,15.594,366.226,0.114,2.202,1.716,
60,38.4011,0.574,16.184,389.224,0.178,2.856,1.854,
63,8.29513,0.254,14.916,335.064,0,0.742,1,
62,23.0297,0.462,15.194,354.95,0.07,1.49,1.39,
61,29.9942,0.5,15.434,361.666,0.066,2.262,1.88,
60,40.3762,0.508,15.974,393.53,0.134,2.916,2.15,
59,51.2272,0.534,15.65,371.51,0.154,3.47,2.382,
63,8.79964,0.236,14.502,327.834,0,0.748,1.002,
62,25.8178,0.446,15.326,345.854,0.048,1.476,1.324,
61,39.5429,0.546,15.602,365.866,0.058,2.196,1.848,
60,41.3501,0.534,15.902,388.442,0.092,2.918,2.224,
59,44.4901,0.486,17.132,439.5,0.146,3.488,2.402,
63,7.56405,0.268,14.848,339.392,0,0.726,1,
62,23.1019,0.5,14.82,331.304,0.008,1.46,1.532,
61,34.0759,0.554,15.012,348.112,0.056,2.212,2.112,
60,37.3096,0.55,15.972,386.584,0.044,2.888,2.724,
59,44.9593,0.594,16.904,438.404,0.046,3.438,3.208,
58,50.8218,0.664,16.998,434.246,0.07,4.208,3.734,
57,56.0425,0.568,17.772,480.34,0.016,4.848,4.374,
60,37.7782,0.568,16.424,402.292,0.014,2.782,2.474,
59,40.5895,0.57,16.406,414.938,0.012,3.52,2.998,
58,47.0601,0.604,17.24,456.804,0.008,4.172,3.458,
52,33.9778,0.464,17.1417,435.521,0.014,7.432,5.522,
51,26.4277,0.408,18.2128,459.556,0.008,7.964,6.27,
50,25.7474,0.448,16.5892,404.798,0.006,8.226,6.464,
49,22.035,0.36,17.3025,447.972,0.004,8.67,7.062,
48,25.7917,0.328,17.3616,452.772,0.002,9.078,7.238,
47,24.6965,0.344,18.8535,501.439,0.002,9.436,7.524,
46,19.5389,0.32,16.1667,372.344,0.008,9.73,7.166,
45,19.5083,0.392,15.9713,366.591,0,10.076,8.104,
44,16.5361,0.32,16.6403,392.089,0.002,10.442,8.798,
43,19.1832,0.328,16.0595,365.055,0.002,10.544,8.306,
42,25.87,0.344,18.3237,480.304,0.006,10.768,8.56,
41,23.215,0.288,19.0154,503.5,0.004,11.01,8.5,
40,22.7268,0.32,20.4423,593.111,0.002,11.218,8.746,
39,21.1244,0.36,19.0644,522.631,0.008,11.444,8.318,
38,24.4542,0.32,21.4782,653.773,0.006,11.354,8.518,
37,26.9783,0.28,21.3913,647.895,0.008,11.828,8.934,
36,34.6126,0.352,25.1716,893.007,0.002,11.596,8.602,
35,26.1996,0.336,24.2754,815.184,0.02,11.994,8.32,
34,40.7448,0.272,25.9891,959.722,0.006,11.89,8.582,
33,29.9822,0.336,25.6408,899.469,0.018,11.858,8.512,
32,39.4715,0.224,31.0093,1290.04,0.026,12.054,8.572,
31,34.6056,0.248,29.3287,1167.14,0.032,12.074,7.804,
40,19.7535,0.368,18.7054,492.252,0.006,11.246,8.806,
39,16.3651,0.336,17.2635,426.333,0.006,11.242,8.814,
38,18.9233,0.24,20.6812,584.384,0.004,11.336,8.952,
37,23.2408,0.336,21.045,633.545,0.008,11.76,9.046,
41,8.93135,0.248,14.6228,295.415,0.004,10.906,8.468,
40,18.909,0.312,18.915,505.458,0.004,11.236,9.772,
39,15.0403,0.232,17.768,439.187,0.002,11.214,8.764,
38,18.7015,0.304,19.8604,561.96,0.002,11.598,9.554,
37,11.6469,0.288,15.3893,333.633,0.008,11.638,9.076,
36,18.6933,0.368,20.2648,582.766,0,11.856,10.196,
35,14.1539,0.264,18.9765,505.435,0.004,11.77,9.13,
34,15.5709,0.208,22.3638,675.169,0.004,12.126,9.81,
33,11.8052,0.224,16.5521,379.183,0.016,11.91,9.216,
32,17.8542,0.288,22.5388,705.345,0.002,11.842,9.948,
31,13.8431,0.224,21.3582,605.643,0.012,12.054,9.41,
30,19.1941,0.216,22.7512,720.195,0.004,11.678,9.41,
29,12.0983,0.264,17.7873,428.655,0.014,11.866,9.02,
28,21.3342,0.216,24.1125,827.064,0,11.652,9.96,
27,21.7255,0.168,21.4673,637.477,0.002,11.712,9.14,
26,15.655,0.16,24.3682,810.232,0.004,11.502,9.12,
25,10.5261,0.248,18.9468,499.363,0.002,11.476,8.89,
24,16.4085,0.216,25.5445,884.7,0.004,11.154,9.356,
23,11.1525,0.192,20.7764,607.404,0.008,11.112,8.684,
22,19.2738,0.192,25.8861,882.069,0,10.538,8.582,
21,9.75963,0.256,17.4382,423.763,0.008,10.568,8.186,
20,12.9214,0.16,27.6593,1046.49,0.004,10.432,8.872,
19,9.36123,0.192,22.791,701.269,0,10.128,7.832,
18,8.92285,0.216,21.3151,620.054,0.002,9.808,8.25,
17,10.3366,0.192,17.7613,436.82,0,9.476,7.878,
16,5.73276,0.224,13.6121,259.506,0.002,8.9,7.63,
15,14.7966,0.224,16.885,405.889,0,8.814,7.74,
14,7.83298,0.264,13.9384,293.218,0,8.21,7.116,
13,8.15076,0.288,11.6427,214.424,0.002,7.908,6.95,
12,5.37045,0.136,14.8899,309.503,0,7.432,6.716,
11,5.30634,0.36,9.51788,143.426,0,6.824,6.1,
10,2.48743,0.544,5.96857,68.831,0,6.62,6.136,
9,3.42641,0.184,10.9325,156.349,0,5.784,5.408,
8,1.81424,0.24,7.0735,65.8131,0,5.95,5.604,
7,0.527141,0.224,6.69846,56.9969,0,4.35,4.274,
6,0.053736,0,11.3252,129.126,0,4.7,4.7,
41,18.3557,0.336,18.9985,503.972,0.002,11.062,8.866,
