level,acc,sigacc,max_ave,max_squ,err,choices,elim_choices,
63,4.4617,0.089,20.825,607.747,0,0.797,1.005,
62,15.6743,0.238,21.784,646.764,0.001,1.363,1.472,
61,24.1823,0.253,21.814,655.824,0.011,1.828,1.829,
60,33.3793,0.276,21.617,663.155,0.022,2.299,2.065,
59,36.8711,0.287,22.501,706.595,0.02,2.948,2.552,
58,43.7072,0.309,23.517,762.093,0.023,3.338,2.715,
57,42.6401,0.261,24.529,822.553,0.041,3.841,3.078,
56,46.4923,0.334,24.83,824.84,0.046,4.315,3.222,
55,46.1024,0.293,25.777,884.273,0.041,4.923,3.548,
54,54.0385,0.354,25.631,876.109,0.048,5.123,3.646,
53,56.9652,0.33,24.99,851.652,0.043,5.934,4.125,
52,27.8712,0.308,21.2191,618.328,0.024,6.109,4.22,
51,35.1149,0.292,24.4264,807.593,0.018,6.928,4.797,
50,32.354,0.336,21.7253,644.791,0.029,6.765,4.464,
49,26.9623,0.268,23.1604,729.903,0.018,7.737,5.087,
48,26.4267,0.248,22.8242,695.935,0.02,7.836,5.194,
47,24.6648,0.264,22.4406,681.899,0.019,8.381,5.431,
46,18.3381,0.264,19.8784,550.323,0.011,8.288,5.756,
45,24.5599,0.22,25.252,845.574,0.016,9.151,6.293,
44,22.9966,0.232,21.1423,605.397,0.018,9.187,5.96,
43,21.3413,0.228,23.2924,741.153,0.014,9.694,6.056,
42,22.9285,0.272,22.105,649.35,0.015,9.797,6.453,
41,16.2469,0.216,24.9075,810.829,0.008,10.382,6.714,
40,15.4747,0.2,21.7099,638.157,0.013,10.329,6.663,
39,13.8365,0.24,23.3222,731.168,0.007,10.816,6.495,
38,14.0454,0.216,21.8023,624.726,0.011,10.563,7.04,
37,17.4656,0.204,23.1476,727.331,0.011,11.363,7.098,
36,15.5613,0.28,20.3862,587.78,0.009,10.925,6.768,
35,12.6047,0.22,22.6451,701.977,0.007,11.598,7.039,
34,14.7213,0.256,20.6571,588.606,0.004,11.104,7.449,
33,15.4759,0.164,23.3596,741.667,0.009,11.884,7.392,
32,15.2963,0.276,20.1122,584.262,0.004,11.514,7.349,
31,12.3967,0.192,21.6959,645.687,0.009,11.885,7.357,
30,12.9743,0.26,19.2104,536.081,0.005,11.61,7.693,
29,16.309,0.228,21.1686,644.97,0.003,12.13,7.589,
28,12.3807,0.236,17.8738,478.771,0,11.677,7.497,
27,12.9541,0.172,20.1704,561.13,0.005,12.015,7.604,
26,11.7333,0.212,17.8195,474.095,0.004,11.476,7.626,
25,14.6446,0.228,20.2465,613.052,0.005,11.922,7.622,
24,13.169,0.276,16.4097,421.776,0.008,11.507,7.723,
23,9.80614,0.22,19.6197,543.797,0.002,11.535,7.664,
22,8.17911,0.26,15.0323,353.821,0.006,10.971,7.663,
21,8.79625,0.152,19.6686,556.887,0.004,11.186,7.639,
20,9.79913,0.204,13.8175,303.512,0.003,10.66,7.756,
19,8.69027,0.196,17.8713,450.189,0.001,10.657,7.704,
18,9.0082,0.232,13.4688,279.423,0.001,10.051,7.27,
17,7.28808,0.16,16.9633,424.485,0,9.837,7.185,
16,7.14055,0.248,12.395,233.254,0,9.441,7.221,
15,8.83221,0.092,17.0885,403.039,0,9.129,7.168,
14,7.84853,0.296,11.5336,199.262,0.002,8.653,6.744,
13,6.7869,0.096,17.6283,385.035,0.004,8.221,6.688,
12,5.13301,0.204,11.5321,184.373,0.002,7.87,6.666,
11,6.11931,0.016,15.628,303.022,0.002,6.972,5.911,
10,3.04134,0.14,10.0635,132.523,0.001,6.85,6.084,
9,4.50198,0,16.3402,311.762,0,5.731,5.288,
8,0.321078,0.024,10.1307,119.012,0,6.155,5.382,
7,0.238496,0,15.1794,244.748,0,3.933,3.879,
6,0.0796506,0,12.4194,155.168,0,4.635,4.635,
