level,opt_a,width,depth,shrink,
64,0.00001,15,99,1,
63,0.00001,15,99,1,
62,0.00001,15,99,1,
61,0.00001,15,99,1,
60,0.00001,15,99,1,
59,0.00001,15,99,1,
58,0.00001,15,99,1,
57,0.00001,15,99,1,
56,0.00001,15,99,1,
55,0.00001,15,99,1,
54,0.00001,15,99,1,
53,0.00001,15,99,1,
52,0.00001,15,6,1,
51,0.00001,15,6,1,
50,0.00001,15,6,1,
49,0.00001,15,6,1,
48,0.00001,15,6,1,
47,0.00001,15,6,1,
46,0.00001,15,6,1,
45,0.00001,15,6,1.05,
44,0.00001,15,6,1.05,
43,0.00001,15,6,1.05,
42,0.00001,15,6,1.05,
41,0.00001,15,4,1.05,
40,0.00001,15,4,1.05,
39,0.00001,15,4,1.05,
38,0.00001,15,4,1.05,
37,0.00001,15,4,1.05,
36,0.00001,15,4,1.05,
35,0.00001,15,4,1.05,
34,0.00001,15,4,1.05,
33,0.00001,15,4,1.05,
32,0.00001,15,4,1.05,
31,0.00001,15,4,1.05,
30,0.00001,15,4,1.05,
29,0.00001,15,4,1.05,
28,0.00001,15,4,1.05,
27,0.00001,15,4,1.05,
26,0.00001,15,4,1.05,
25,0.00001,15,4,1.05,
24,0.00001,15,4,1.05,
23,0.00001,15,4,1.05,
22,0.00001,15,4,1.05,
21,0.00001,15,4,1.05,
20,0.00001,15,4,1.05,
19,0.00001,15,4,1.05,
18,0.00001,15,4,1.05,
17,0.00001,15,4,1.05,
16,0.00001,15,4,1.05,
15,0.00001,15,6,1.05,
14,0.00001,15,6,1.05,
13,0.00001,15,6,1.05,
12,0.00001,15,6,1.05,
11,0.00001,15,6,1.05,
10,0.00001,15,6,1.05,
09,0.00001,15,6,1.05,
08,0.00001,15,6,1.05,
07,0.00001,15,6,1.05,
06,0.00001,15,6,1.05,
05,0.00001,15,6,1.05,
