level,acc,sigacc,max_ave,max_squ,err,choices,elim_choices,
63,6.86369,0.144,17.663,457.633,0,0.773,1.002,
62,21.5875,0.286,18.561,506.679,0,1.377,1.45,
61,27.0103,0.331,19.104,533.478,0.016,1.958,1.836,
60,36.3982,0.397,19.857,568.881,0.03,2.537,2.225,
59,39.2392,0.298,20.28,579.038,0.029,3.018,2.543,
58,47.785,0.487,20.732,615.732,0.038,3.684,2.843,
57,48.1939,0.411,21.628,676.202,0.042,4.159,3.076,
56,50.8723,0.43,21.805,671.689,0.054,4.834,3.567,
55,48.9402,0.407,21.832,679.284,0.048,5.037,3.58,
54,59.757,0.443,21.903,676.087,0.044,5.847,4.018,
53,56.8475,0.516,21.988,699.638,0.054,6.113,4.032,
52,27.0474,0.372,20.6278,592.699,0.028,6.792,4.477,
51,26.162,0.344,19.2281,537.981,0.018,7.036,4.975,
50,24.6482,0.332,20.343,570.993,0.013,7.841,5.604,
49,24.0687,0.32,20.1564,571.329,0.021,8.007,5.562,
48,29.3619,0.352,21.2339,621.798,0.012,8.41,5.93,
47,23.7802,0.268,20.7748,595.595,0.024,8.703,5.651,
46,20.6236,0.304,20.4144,573.844,0.019,9.074,6.192,
45,13.8677,0.272,17.3603,427.96,0.01,9.63,6.933,
44,18.9769,0.272,19.5752,536.885,0.001,9.671,7.501,
43,14.5095,0.232,18.9386,491.35,0.007,10.364,7.598,
42,19.7039,0.26,21.7979,636.74,0.007,10.437,7.797,
41,12.329,0.228,18.6917,492.293,0.002,10.763,7.426,
40,13.756,0.24,20.6088,586.068,0.006,10.868,8.067,
39,10.0665,0.196,19.9691,534.505,0.004,11.201,7.886,
38,15.7197,0.24,22.5822,701.341,0.004,11.087,8.134,
37,9.44696,0.188,20.0715,552.512,0.008,11.574,7.42,
36,12.8541,0.232,22.3212,675.512,0.004,11.688,8.775,
35,9.04692,0.192,19.942,530.747,0.005,11.846,7.846,
34,13.684,0.252,22.3768,688.171,0.003,11.899,8.751,
33,9.88619,0.18,20.9686,607.762,0.004,12.035,8.013,
32,14.1312,0.216,22.5092,688.61,0.007,12.05,8.597,
31,9.36487,0.208,21.9316,647.695,0.01,12.097,7.419,
30,15.3155,0.24,22.3217,697.991,0.004,11.98,8.428,
29,9.54136,0.196,22.5108,688.642,0.003,12.055,7.557,
28,15.2993,0.232,22.7068,718.444,0.006,12.025,8.468,
27,12.6656,0.16,23.7535,739.144,0.003,12.171,7.367,
26,13.205,0.188,24.6019,848.618,0.004,12.11,8.104,
25,8.87939,0.192,22.5761,702.892,0.007,11.837,7.174,
24,13.9058,0.196,22.2556,695.432,0.001,11.63,7.8,
23,8.10071,0.172,23.1506,720.871,0.004,11.633,7.039,
22,11.699,0.16,23.411,767.173,0.002,11.305,7.546,
21,8.40707,0.16,22.8686,696.136,0.007,11.056,6.782,
20,12.5102,0.2,21.9823,681.854,0.007,10.908,7.452,
19,8.47685,0.132,23.3221,713.151,0.006,10.499,6.363,
18,12.395,0.172,23.254,741.836,0.006,10.133,6.946,
17,8.12691,0.116,24.7929,780.115,0.004,9.749,6.112,
16,13.0307,0.216,21.7212,624.758,0.001,9.538,6.916,
15,9.15132,0.092,24.0917,716.769,0.01,9.042,5.734,
14,14.7241,0.192,21.0137,587.26,0.001,8.811,6.709,
13,8.16047,0.048,22.3392,590.451,0.01,8.02,5.382,
12,9.76125,0.112,20.4119,518.722,0.001,7.908,6.601,
11,5.42927,0.016,23.7375,620.012,0.003,6.98,5.379,
10,6.62479,0.068,19.5245,446.238,0,6.887,5.996,
9,1.98475,0,22.2136,531.032,0,5.674,4.732,
8,0.452136,0,19.5457,419.911,0.001,6.121,5.342,
7,0.0265959,0,20.358,435.116,0,3.969,3.744,
6,0.00558649,0,22.2888,497.585,0,4.659,4.659,
