level,opt_a,width,depth,shrink,
64,0.00005,12,99,1,
63,0.00005,12,99,1,
62,0.00005,12,99,1,
61,0.00005,12,99,1,
60,0.00005,12,99,1,
59,0.00005,12,99,1,
58,0.00005,12,99,1,
57,0.00005,12,99,1,
56,0.00005,12,99,1,
55,0.00005,12,99,1,
54,0.00005,12,99,1,
53,0.00005,12,99,1,
52,0.0001,12,6,1,
51,0.0001,12,6,1,
50,0.0001,12,6,1,
49,0.0001,12,6,1,
48,0.0001,12,6,1,
47,0.0001,12,6,1,
46,0.0001,12,5,1,
45,0.0001,12,5,1,
44,0.0001,12,5,1,
43,0.0001,12,5,1,
42,0.0001,12,5,1,
41,0.0001,12,5,1,
40,0.0001,12,5,1,
39,0.0001,12,5,1,
38,0.0001,12,5,1,
37,0.0001,12,5,1,
36,0.0001,12,5,1,
35,0.0001,12,5,1,
34,0.0001,12,5,1,
33,0.0001,12,5,1,
32,0.0001,12,5,1,
31,0.0001,12,5,1,
30,0.0001,12,5,1,
29,0.0001,12,5,1,
28,0.0001,12,5,1,
27,0.0001,12,5,1,
26,0.0001,12,5,1,
25,0.0001,12,5,1,
24,0.0001,12,5,1,
23,0.0001,12,5,1,
22,0.0001,12,5,1,
21,0.0001,12,5,1,
20,0.0001,12,5,1,
19,0.0001,12,5,1,
18,0.0001,12,5,1,
17,0.0001,12,5,1,
16,0.0001,12,5,1,
15,0.0001,12,5,1,
14,0.0001,12,5,1,
13,0.0001,12,5,1,
12,0.0001,12,6,1,
11,0.0001,12,6,1,
10,0.0001,12,6,1,
09,0.0001,12,6,1,
08,0.0001,12,6,1,
07,0.0001,12,7,1,
06,0.0001,12,8,1,
05,0.0001,12,8,1,
