level,acc,sigacc,max_ave,max_squ,err,choices,elim_choices,
64,0,0,0,0,0,0.749,1.001,
63,8.96208,0.251,14.988,341.748,0.006,1.498,1.442,
62,22.2246,0.373,16.151,386.301,0.026,2.225,1.829,
61,30.2316,0.506,15.01,339.824,0.053,2.894,2.112,
60,40.0759,0.51,16.725,419.533,0.06,3.485,2.421,
59,43.0068,0.5,16.874,428.518,0.048,4.212,2.782,
58,50.9678,0.618,16.936,434.354,0,0.729,1,
63,7.04005,0.279,14.266,320.502,0.005,1.488,1.448,
62,23.5806,0.392,15.498,356.194,0.023,2.221,1.846,
61,31.8415,0.45,15.96,381.76,0.053,2.875,2.078,
60,38.8586,0.518,15.732,382.162,0.054,3.561,2.467,
59,41.0402,0.506,17.237,447.371,0.051,4.164,2.708,
58,47.7043,0.562,17.8,474.092,0,0.721,1.001,
63,7.13838,0.229,14.518,331.246,0.003,1.495,1.433,
62,21.677,0.386,15.149,346.655,0.022,2.206,1.806,
61,30.6445,0.492,15.67,377.68,0,0.754,1,
63,1013.81,0.556,63.994,4095.24,0,0.729,1,
63,951.5,0.524,63.995,4095.36,0,0.76,1,
63,993.064,0.552,63.995,4095.36,0,0.749,1.001,
63,931.111,0.512,64.055,4098.95,0,1,1,
63,883.75,0.492,63.989,4094.6,0,0.728,1,
63,9.01356,0.29,14.87,337.726,63,20.7022,0.435,14.751,325.637,0,0.702,1.002,
62,27.8988,0.388,15.198,353.956,0.003,1.504,1.524,
61,35.2679,0.486,15.605,363.233,0.016,2.194,1.954,
60,40.3368,0.527,16.064,391.686,0.023,2.877,2.372,
59,43.2417,0.595,16.622,415.004,0.034,3.58,2.742,
58,47.9983,0.563,17.032,434.948,0.038,4.15,3.072,
57,52.6269,0.602,17.678,469.488,0.031,4.732,3.375,
56,52.0902,0.566,18.014,492.096,0.031,5.373,3.78,
55,59.7725,0.555,18.978,529.918,0.02,5.833,4.212,
54,59.4699,0.607,18.881,535.247,0.039,6.404,4.219,
53,61.3675,0.575,18.997,536.895,0.051,6.983,4.553,
52,62.9655,0.536,18.814,529.056,0.04,7.334,4.841,
51,12.6464,0.504,10.6701,162.597,0.029,7.816,5.098,
50,13.2148,0.492,10.9171,169.266,0.001,8.438,7.431,
49,11.6511,0.48,10.7224,175.348,0.003,8.69,7.732,
51,31.3274,0.388,18.4272,484.966,0.029,7.936,5.117,
48,35.0356,0.48,18.3104,496.145,0.014,9.042,6.07,
47,30.3099,0.424,19.0062,517.715,0.028,9.273,6.119,
