level,acc,sigacc,max_ave,max_squ,err,choices,elim_choices,
64,0,0,0,0,0,1,1,
63,14.7655,0.322,14.862,336.166,0.08,1.616,1.168,
62,33.4819,0.5,15.048,352.436,0.096,2.272,1.502,
61,40.3034,0.5,15.906,379.318,0.102,2.874,1.772,
60,57.6497,0.764,16.386,422.634,0.116,3.55,2.108,
59,55.9094,0.65,16.376,414.076,0.114,4.23,2.45,
58,56.8015,0.65,17.284,454.484,0.088,4.716,2.656,
57,64.1319,0.72,17.618,477.046,0.104,5.42,2.938,
56,77.4538,0.754,18.056,479.256,0.112,5.866,3.008,
55,86.2831,0.716,18.902,538.498,0.046,6.398,3.438,
54,6.99251,0.152,18.5383,508.493,0.076,8.204,3.402,
50,6.82631,0.128,19.175,565.659,0.11,8.702,3.106,
49,6.01805,0.216,22.2353,724.402,0.104,9,3.136,
48,7.06671,0.248,19.6072,577.918,0.064,9.502,3.188,
47,25.643,0.464,12.5165,229.801,0.134,9.756,4.868,
46,23.0001,0.456,14.5273,309.08,0.144,10.042,5.28,
45,15.5937,0.504,11.9087,207.276,0.066,6.448,3.278,
54,8.56735,0.192,22.7559,740.562,0.068,6.326,3.214,
54,8.53324,0.152,21.8342,704.964,0.102,6.852,2.868,
53,8.06859,0.144,21.8647,694.232,0.084,7.224,2.966,
52,8.80083,0.184,20.8044,634.953,0.084,7.862,3.098,
51,7.5144,0.224,20.6745,633.595,0.108,8.206,2.976,
50,8.30484,0.176,22.6507,760.589,0.132,8.754,2.844,
49,8.42773,0.16,23.5036,826.021,0.116,8.984,3.036,
48,8.57368,0.152,22.3629,732.174,0.046,9.256,3.022,
47,47.0536,0.488,16.0245,376.394,0.092,9.712,3.802,
46,51.1733,0.584,16.1258,382.286,0.116,10.076,4.124,
45,31.584,0.648,12.7314,248.467,0.05,6.398,3.226,
54,7.42173,0.16,21.3124,672.698,0.072,6.898,2.946,
53,8.04842,0.08,21.5792,681.455,0.07,7.338,3.036,
52,8.21906,0.224,20.1884,611.474,0.054,6.442,3.364,
54,7.27781,0.2,21.8872,693.885,0.096,6.902,2.89,
53,7.88073,0.2,22.4372,741.332,0.088,7.324,3.054,
